id,flag,gdr_cd,age,mrg_situ_cd,acdm_deg_cd,job_year,ic_ind,fr_or_sh_ind,dnl_mbl_bnk_ind,dnl_bind_cmb_lif_ind,hav_car_grp_ind,hav_hou_grp_ind,l6mon_agn_ind,frs_agn_dt_cnt,vld_rsk_ases_ind,fin_rsk_ases_grd_cd,confirm_rsk_ases_lvl_typ_cd,cust_inv_rsk_endu_lvl_cd,l6mon_daim_aum_cd,tot_ast_lvl_cd,pot_ast_lvl_cd,bk1_cur_year_mon_avg_agn_amt_cd,l12mon_buy_fin_mng_whl_tms,l12_mon_fnd_buy_whl_tms,l12_mon_insu_buy_whl_tms,l12_mon_gld_buy_whl_tms,loan_act_ind,pl_crd_lmt_cd,ovd_30d_loan_tot_cnt,his_lng_ovd_day,hld_crd_card_grd_cd,crd_card_act_ind,l1y_crd_card_csm_amt_dlm_cd,perm_crd_lmt_cd,cur_debit_cnt,cur_credit_cnt,cur_debit_min_opn_dt_cnt,cur_credit_min_opn_dt_cnt,cur_debit_crd_lvl
UE6CE39,0,F,44,B,30,6,0,0,1,1,1,0,0,-1,0,-1,-1,1,3,3,6,0,0,0,0,0,0,0,0,0,-1,0,0,5,2,0,6418,-1,20
UECE5C1,0,F,49,B,Z,6,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,3,2,0,4336,-1,20
U86CFFD,0,M,37,A,G,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,4774,-1,10
UDB8D43,0,M,41,B,Z,2,0,0,1,0,0,0,0,-1,0,-1,-1,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,4,3,0,3838,-1,20
U442077,0,F,57,B,Z,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,4,1,0,6153,-1,10
UE3D432,0,M,50,O,Z,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,3,-1,4,0,0,0,0,0,0,0,0,0,-1,0,0,2,2,0,7420,-1,10
UFB377C,0,F,39,B,31,10,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,7,1,0,4781,-1,10
U036C7D,0,F,38,B,Z,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,3,-1,4,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,5738,-1,10
UB388CC,0,F,41,A,30,3,0,1,1,0,0,0,1,891,0,-1,-1,1,1,-1,6,1,0,0,0,0,0,0,0,0,-1,0,0,3,3,0,5485,-1,10
UF19289,0,M,38,B,G,1,0,0,1,0,1,0,1,549,1,2,2,1,1,-1,5,2,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,590,-1,10
U53D30F,0,M,36,A,G,2,0,0,1,0,1,0,0,-1,0,-1,-1,1,2,-1,4,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,2665,-1,10
UF570A0,0,F,44,A,Z,5,0,0,1,0,0,0,1,654,0,-1,-1,1,1,-1,4,4,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1830,-1,10
U7FEBC5,0,F,39,A,31,1,0,0,1,0,0,0,0,1181,0,-1,-1,1,1,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,5,1,0,1620,-1,10
UB8BFA9,0,F,33,A,G,1,0,0,0,0,0,0,0,-1,0,-1,-1,1,2,-1,4,0,0,0,0,0,0,0,0,0,-1,0,0,2,2,0,4696,-1,10
UA791AC,0,F,45,B,Z,0,0,0,1,0,0,1,1,437,0,-1,6,1,1,-1,5,3,0,0,0,0,1,0,0,0,-1,0,0,4,3,0,6046,-1,20
UC53898,0,F,31,B,30,1,0,0,1,0,0,0,1,453,1,1,1,1,3,-1,3,5,0,19,0,0,0,0,0,0,-1,0,0,2,1,0,461,-1,10
U5DBAF3,0,M,22,A,31,0,0,0,1,1,0,0,0,-1,1,1,1,1,1,-1,5,0,0,1,0,0,0,0,0,0,-1,0,0,0,1,0,262,-1,10
U25DA59,0,M,35,B,30,0,0,0,1,0,0,0,0,-1,0,-1,-1,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1245,-1,20
UF9A1F6,1,M,32,A,31,0,0,0,1,1,0,0,0,-1,0,-1,-1,1,0,3,6,0,0,0,0,0,0,0,0,0,-1,0,0,6,1,0,2012,-1,10
U09B9E7,0,F,48,B,G,8,0,0,1,1,0,0,1,203,1,3,2,1,4,-1,3,1,11,36,0,2,0,0,0,0,-1,0,0,3,4,0,2041,-1,10
UC0B82F,0,F,46,B,31,18,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,2200,-1,20
UCD4784,0,M,28,A,31,2,0,0,1,1,0,0,0,-1,0,-1,3,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,962,-1,10
U45FF99,0,M,29,A,G,2,0,0,1,1,1,0,0,1172,0,-1,-1,1,1,-1,4,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,1297,-1,10
U0BBC3E,0,M,27,B,31,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,2,2,4,0,0,0,0,0,1,4,0,0,-1,0,0,5,2,0,1346,-1,10
UF38C6F,0,F,26,A,31,3,0,0,1,1,0,0,0,714,0,-1,2,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,855,-1,10
UF89169,0,F,30,A,31,1,0,0,0,1,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1067,-1,10
U680FBF,0,F,29,B,31,16,0,0,1,1,0,0,0,-1,0,-1,2,1,0,1,6,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1070,-1,10
U1E3740,1,M,32,A,30,1,0,1,0,1,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1534,-1,10
U26B88E,0,F,28,B,30,4,0,0,0,1,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,1770,-1,10
UB2DD5B,0,M,31,A,G,5,0,0,1,1,0,0,0,1180,0,-1,-1,1,1,1,5,0,0,0,0,0,0,0,0,0,-1,0,0,3,2,0,2005,-1,20
U664CF0,0,F,30,A,G,2,0,0,1,1,0,0,1,196,1,1,1,1,1,-1,5,2,0,0,0,0,0,0,0,0,-1,0,0,4,1,0,234,-1,10
UB8F782,0,M,23,A,Z,0,0,0,1,1,0,0,0,-1,1,1,1,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,266,-1,10
U1346EA,0,M,36,B,G,1,0,0,1,0,0,0,0,-1,1,3,3,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,517,-1,10
U826D4B,0,F,47,B,F,0,0,0,1,1,0,0,0,-1,1,1,1,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,579,-1,10
U9D14FC,0,M,26,A,31,1,0,0,1,0,0,0,0,623,1,1,1,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,639,-1,10
U77A2C9,0,F,30,A,G,1,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,2,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,749,-1,10
UDD8249,0,M,38,B,31,5,0,0,1,0,0,0,0,1179,0,-1,-1,1,1,2,5,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1195,-1,10
U8ACAF8,0,M,27,A,31,3,0,0,0,1,0,0,0,-1,0,-1,-1,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,4,1,0,1838,-1,10
U951C0D,0,M,29,A,31,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1986,-1,10
UCF3F1A,1,F,30,A,30,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,2050,-1,10
UD6D172,0,F,52,B,30,0,0,1,1,0,1,0,1,1193,0,-1,-1,1,1,-1,4,4,0,0,0,0,0,0,0,0,-1,0,0,1,2,0,2168,-1,10
U85E659,1,M,40,B,G,2,0,0,1,0,0,0,0,-1,1,1,1,1,2,-1,4,0,0,1,0,0,0,0,0,0,-1,0,0,1,1,0,62,-1,10
U691221,0,M,29,A,31,2,0,0,0,1,1,0,0,961,0,-1,-1,1,0,2,6,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,1279,-1,20
U903B52,0,M,34,B,31,12,0,0,1,1,0,0,0,-1,0,-1,-1,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,1301,-1,10
UBD635A,0,M,26,A,31,0,0,0,1,1,0,0,0,1188,0,-1,-1,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1615,-1,10
UF91860,0,F,32,B,Z,2,0,0,1,0,0,0,0,-1,1,1,1,1,1,-1,4,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,402,-1,10
UA7D83C,0,F,31,B,30,6,0,0,1,1,0,0,1,1069,0,-1,3,1,6,2,4,4,0,0,0,0,0,0,0,0,-1,0,0,2,2,0,2108,-1,20
U0D79B6,0,F,23,A,G,0,0,0,1,1,0,0,0,-1,1,1,1,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,614,-1,10
U4D9A9B,0,F,26,A,30,0,0,0,1,1,0,0,0,-1,0,-1,2,1,1,2,5,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,996,-1,10
U3897D9,0,M,43,B,30,4,0,1,1,1,0,0,0,802,1,1,1,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,1,2,0,1274,-1,10
U1F0B54,0,M,24,A,31,0,0,0,1,1,0,0,0,1213,0,-1,-1,1,0,3,6,0,0,0,0,0,0,0,0,0,-1,0,0,4,2,0,1371,-1,10
U3B2376,0,M,32,A,30,4,0,0,0,1,0,0,0,-1,0,-1,-1,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,1412,-1,10
U3559B6,0,M,56,B,31,32,0,0,0,0,0,0,0,-1,0,-1,2,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,1169,-1,10
U9358A4,0,M,37,B,30,6,0,0,1,0,0,0,1,1208,0,-1,1,1,1,-1,3,5,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1256,-1,10
U208E23,0,F,53,B,G,9,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1425,-1,10
U78AF73,0,M,55,B,G,33,0,0,1,0,0,0,0,-1,0,-1,-1,1,0,1,6,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,1672,-1,10
U04A464,0,M,36,A,31,1,0,0,0,1,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,8,-1,10
U2E7F16,0,M,34,B,31,0,0,0,1,1,1,0,0,-1,1,1,1,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,454,-1,10
U7C0A5D,0,M,27,A,G,15,0,0,1,0,0,0,0,325,0,-1,1,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,1,2,0,713,-1,10
UE2DADE,0,M,35,B,31,2,0,0,1,1,0,0,0,1203,0,-1,-1,1,0,2,6,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1259,-1,20
U67ABAD,0,F,30,B,G,5,0,0,1,0,0,0,0,-1,0,-1,-1,1,0,3,6,0,0,0,0,0,0,0,0,0,-1,0,0,4,1,0,1426,-1,10
UCB6254,1,M,33,A,G,0,0,0,1,1,0,0,0,-1,0,-1,-1,1,1,2,5,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,1671,-1,20
UBA6521,0,M,41,B,G,2,0,0,1,0,0,0,0,-1,0,-1,-1,1,0,3,-1,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1839,-1,10
U5617A0,1,F,32,A,31,2,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1865,-1,10
UB25043,1,F,25,A,G,1,0,0,1,1,0,0,0,-1,0,-1,-1,1,1,-1,4,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1923,-1,10
UF8BD5F,1,F,26,A,G,2,0,0,1,0,0,0,0,-1,0,-1,-1,1,1,2,5,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,2005,-1,10
UD08BF7,0,F,26,A,F,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,1,6,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,2006,-1,10
U6C7AAE,0,M,32,A,30,1,0,0,1,0,0,0,0,-1,0,-1,-1,1,0,2,6,0,0,0,0,0,0,0,0,0,-1,0,0,2,2,0,2057,-1,10
UA9ACB5,0,F,26,A,G,0,0,0,1,0,0,0,0,796,0,-1,-1,1,2,-1,4,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,2081,-1,10
U3046AB,0,M,30,A,G,0,0,0,1,0,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,2126,-1,10
U344BE1,0,M,39,B,31,2,0,0,1,0,0,0,0,937,0,-1,-1,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,4,1,0,2147,-1,20
U1C8F8E,0,M,32,A,31,0,0,0,1,1,1,0,0,-1,1,1,1,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,374,-1,10
U8577F9,0,M,26,A,G,1,0,0,0,1,1,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,400,-1,10
U29144B,0,M,31,B,31,1,0,0,0,1,1,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,5,1,0,426,-1,10
UC65B31,0,M,27,A,31,0,0,0,1,1,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,3,2,0,454,-1,10
UCAA8D1,0,M,26,A,31,0,0,0,0,1,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,1295,-1,10
U2513EC,0,F,30,B,G,0,0,0,1,1,1,0,0,-1,0,-1,-1,1,1,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1657,-1,10
U567767,0,F,44,B,Z,17,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,1865,-1,10
UF9C136,0,M,34,A,G,0,0,0,1,1,0,0,0,1208,0,-1,-1,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,1902,-1,10
UDDD377,0,M,34,A,F,10,0,0,0,1,1,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,4,1,0,402,-1,10
UC1DC86,0,M,30,B,G,1,0,0,1,0,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,417,-1,10
UA8E716,0,M,27,A,G,0,0,0,1,1,0,0,0,-1,0,-1,1,1,0,1,6,0,0,0,0,0,0,0,0,0,-1,0,0,2,2,0,942,-1,10
UA2ECC5,0,M,39,B,30,2,0,0,1,1,0,0,0,1006,0,-1,-1,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1013,-1,10
U37683A,0,F,34,B,Z,0,0,0,1,1,1,0,0,-1,1,4,4,1,7,-1,2,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,166,-1,10
U5BFD05,0,F,38,B,G,2,0,0,1,0,0,0,0,-1,0,-1,2,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1136,-1,10
UD5C66F,0,M,24,A,G,0,0,0,1,1,1,0,1,62,1,2,2,1,1,3,5,1,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,185,-1,10
UDCAA41,0,F,58,B,31,3,0,0,1,0,0,0,0,-1,1,1,1,1,2,2,4,0,0,6,0,0,0,0,0,0,-1,0,0,1,1,0,266,-1,10
U421520,0,F,34,A,F,1,0,0,1,0,1,0,1,167,0,-1,-1,1,2,-1,3,5,0,0,0,0,1,4,0,0,-1,0,0,1,1,0,719,-1,10
U691D93,1,M,45,B,F,0,0,0,1,1,0,0,1,891,0,-1,1,1,2,1,5,4,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,892,-1,20
U98209B,0,F,30,B,G,0,0,0,0,1,0,0,0,-1,0,-1,-1,1,0,2,6,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1400,-1,10
UCB1551,0,F,29,B,31,1,0,1,1,1,0,0,0,509,0,-1,-1,1,0,2,6,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1404,-1,10
U73DA19,0,M,26,A,G,0,0,0,1,1,0,0,0,-1,0,-1,-1,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1550,-1,10
U97C2CF,0,F,25,A,Z,0,0,0,1,0,1,0,0,1175,0,-1,4,1,1,2,5,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,872,-1,10
UA112FD,0,F,33,A,G,2,0,0,1,0,0,0,1,1218,0,-1,-1,1,2,-1,4,4,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1985,-1,20
U5E9164,0,M,33,A,31,2,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,2037,-1,10
UE76DA7,0,M,31,A,31,1,0,0,1,1,1,0,1,47,1,1,1,1,2,-1,4,2,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,69,-1,10
U3D3593,0,M,32,A,G,2,0,0,1,0,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,2060,-1,10
U02C2A9,0,F,30,A,31,5,0,0,0,1,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,415,-1,10
U7021AF,0,M,33,A,G,0,0,0,0,1,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,815,-1,10
U46B10D,0,F,33,B,30,6,1,1,1,1,1,0,0,787,0,-1,3,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,4,1,0,856,-1,10
UF51621,0,M,25,A,Z,0,0,1,1,0,1,0,0,-1,1,1,3,1,2,2,6,0,0,18,0,0,0,0,0,0,-1,0,0,0,2,0,1384,-1,10
UFDC52F,0,M,31,A,G,0,0,0,1,0,0,0,0,-1,0,-1,-1,1,1,4,5,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,2020,-1,10
U1524FF,0,M,31,A,Z,0,0,0,1,0,0,0,0,-1,1,1,1,1,1,-1,5,0,0,1,0,0,0,0,0,0,-1,0,0,1,1,0,342,-1,10
UCF410F,0,M,36,B,31,8,0,0,0,1,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,431,-1,10
U76D41C,1,M,27,A,Z,0,0,0,1,0,0,0,0,439,1,1,1,1,2,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,447,-1,10
U1A5151,0,M,42,B,Z,0,0,0,0,1,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,453,-1,10
U08B700,0,M,24,A,31,0,0,0,0,0,0,0,0,-1,1,2,2,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,446,-1,10
U31ED10,0,F,43,B,F,0,0,0,1,1,0,0,0,-1,0,-1,-1,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,466,-1,10
U252331,0,F,37,B,30,1,0,0,1,0,0,0,0,-1,1,4,5,5,5,-1,3,0,1,0,0,0,1,4,0,0,-1,0,0,2,1,0,537,-1,20
UDF5375,1,F,31,B,G,1,0,0,1,1,0,0,0,-1,1,1,1,1,2,-1,4,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,566,-1,10
U090E92,0,M,29,A,G,0,0,0,1,1,1,0,0,793,0,-1,2,1,0,1,6,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,801,-1,10
UB9CC01,0,F,48,B,F,0,0,0,1,0,0,0,0,823,0,-1,2,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,831,-1,20
U5B30ED,0,F,27,B,Z,1,0,0,1,1,0,0,0,913,0,-1,-1,1,0,2,6,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1054,-1,20
UFAA4FB,0,M,23,A,31,3,0,0,1,0,0,0,0,-1,0,-1,2,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1055,-1,10
U1D263C,0,F,33,B,G,0,0,0,1,1,0,0,0,1105,0,-1,-1,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1110,-1,10
UBE9FA0,0,M,47,B,30,16,0,1,1,0,0,0,0,-1,1,4,4,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,4,1,0,678,-1,20
UE3A04A,0,M,52,B,G,1,0,1,1,1,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,4,1,0,1296,-1,10
U5BFE5A,0,M,32,B,30,0,0,0,1,0,0,0,0,-1,0,-1,-1,6,3,-1,4,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1523,-1,10
U5A83C1,0,M,33,A,G,2,0,0,0,0,0,0,0,-1,0,-1,-1,1,1,2,5,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1791,-1,10
U30CD62,0,F,50,B,Z,1,0,0,1,1,0,0,1,1180,1,3,2,1,4,3,3,2,3,27,0,0,0,0,0,0,-1,0,0,1,1,0,1867,-1,20
U7171F0,0,M,32,A,31,2,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,1921,-1,10
UE9770D,0,F,37,B,F,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,2147,-1,10
U98E883,0,M,33,B,31,2,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,2175,-1,10
U34CE8B,0,F,50,B,G,4,0,0,0,1,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,260,-1,10
UD2DCE7,0,F,33,B,G,8,0,0,0,1,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,1166,-1,10
UF61AFB,0,M,29,B,G,3,0,1,1,1,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,1596,-1,10
U551AFA,1,F,28,A,31,0,0,0,1,0,1,0,1,639,0,-1,-1,1,2,-1,6,1,0,0,0,0,0,0,0,0,-1,0,0,5,2,0,2182,-1,20
U327809,0,F,33,A,31,1,0,0,1,0,0,0,0,-1,0,-1,-1,1,1,-1,5,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,1627,-1,10
U7BAEBE,0,M,37,A,F,0,0,0,1,1,1,0,0,-1,0,-1,-1,1,1,-1,4,0,0,0,0,0,0,0,0,0,-1,0,0,2,2,0,237,-1,10
U7A76DE,0,M,34,B,G,0,0,0,1,1,1,0,0,-1,1,2,2,1,1,-1,5,0,0,1,0,0,0,0,0,0,-1,0,0,3,1,0,364,-1,10
U269F02,0,M,44,B,G,15,0,0,0,1,0,0,0,-1,1,1,1,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,525,-1,10
U8781CF,0,F,34,B,G,4,0,0,0,0,0,0,0,-1,0,-1,2,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,943,-1,20
U39C9E9,0,F,24,A,G,0,0,0,1,1,0,0,0,-1,0,-1,1,1,1,2,5,0,0,0,0,0,0,0,0,0,-1,0,0,2,1,0,959,-1,10
